"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 14 20:45:36 GMT 2024","Mon Oct 14 20:45:37 GMT 2024","1116","Surefire suite","Surefire test","com.qacart.todo.testcases.DeleteTodoTest","com.qacart.todo.testcases.DeleteTodoTest","should_be_able_to_delete_todo","Should be able to delete a Todo","To make sure tha users can delete a todo any time"
"passed","Mon Oct 14 20:45:33 GMT 2024","Mon Oct 14 20:45:35 GMT 2024","2626","Surefire suite","Surefire test","com.qacart.todo.testcases.AuthTest","com.qacart.todo.testcases.AuthTest","should_be_able_to_login","Should be able to login using valid email and password","Login test case to make sure that any user can login any time"
"passed","Mon Oct 14 20:45:33 GMT 2024","Mon Oct 14 20:45:36 GMT 2024","3025","Surefire suite","Surefire test","com.qacart.todo.testcases.AuthTest","com.qacart.todo.testcases.AuthTest","should_be_able_to_register","Should be able to create an account","Register test case to make sure that any user can create an account any time"
"passed","Mon Oct 14 20:45:35 GMT 2024","Mon Oct 14 20:45:36 GMT 2024","1485","Surefire suite","Surefire test","com.qacart.todo.testcases.AddTodoTest","com.qacart.todo.testcases.AddTodoTest","should_be_able_to_add_todo","Should be able to add a todo to the application","To make sure tha users can create a new todo"
